disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:7442,Bone marrow plasma cells,"['IGK' 'SCFV' 'IGHG4' 'RN7SL2' 'IGHG1' 'SNORD116-15' 'IGKC' 'DUSP1'
 'IGHV3-23' 'SNORD33' 'EGR1' 'RN7SK' 'SEL1L3' 'CD74' 'CXCL12' 'FOS' 'PDK1'
 'RNU5E-1' 'SNHG3' 'IGHV3-48']","['-0.22302654385566711' '-0.216499462723732' '-0.18976549804210663'
 '-0.15740299224853516' '-0.14111104607582092' '-0.13055384159088135'
 '-0.11462879180908203' '-0.10078876465559006' '-0.10068224370479584'
 '-0.10062621533870697' '-0.09414807707071304' '-0.08580441772937775'
 '-0.082656130194664' '-0.08075892180204391' '-0.07693962007761002'
 '-0.0740547701716423' '-0.07353470474481583' '-0.07318570464849472'
 '-0.073044553399086' '-0.07248486578464508']","['S100A8' 'ACTG1' 'RPS28' 'PELI1' 'B2M' 'NAMPT' 'MCL1' 'EZR' 'RPS17'
 'S100A10' 'RNA18S5' 'RPL17' 'SLC2A3' 'DEFA1B' 'RPL9' 'HSPA5' 'DAD1'
 'EIF1' 'HLA-G' 'HLA-B']","['0.15246015787124634' '0.1238258108496666' '0.11413697153329849'
 '0.11024449020624161' '0.10860485583543777' '0.09750594943761826'
 '0.09136253595352173' '0.09008155018091202' '0.08781561255455017'
 '0.08536197245121002' '0.08526620268821716' '0.08445753157138824'
 '0.0829259529709816' '0.07988298684358597' '0.07905948907136917'
 '0.07751761376857758' '0.07464476674795151' '0.07389739155769348'
 '0.07154297828674316' '0.07059258967638016']"
DOID:9551,Bone marrow plasma cells,"['SCFV' 'IGK' 'IGHG1' 'IGHG4' 'IGKC' 'IGHV3-48' 'RN7SL2' 'IGJ' 'IGHV3-23'
 'HBA2' 'SEL1L3' 'DUSP1' 'SNORD33' 'XBP1' 'PDK1' 'SNORD116-15' 'EGR1'
 'HSPA8' 'RNU5E-1' 'IGLV6-57']","['-0.3248269557952881' '-0.30830347537994385' '-0.3067634403705597'
 '-0.26610857248306274' '-0.23913998901844025' '-0.15286347270011902'
 '-0.129495307803154' '-0.11787377297878265' '-0.10491304844617844'
 '-0.06894175708293915' '-0.06592874228954315' '-0.0653235912322998'
 '-0.06284403800964355' '-0.058453552424907684' '-0.05825226008892059'
 '-0.05377038195729256' '-0.05294928327202797' '-0.04622142016887665'
 '-0.04415333643555641' '-0.04404555633664131']","['PELI1' 'MCL1' 'RPS28' 'B2M' 'NFKBIA' 'HSPA5' 'DEFA1B' 'EIF1' 'RPS17'
 'RPL9' 'GADD45A' 'S100A8' 'GPRC5D' 'CCL3' 'RPS27' 'CCL3L3' 'CCND2'
 'RPL35A' 'RPL17' 'RPS11']","['0.12639665603637695' '0.09218717366456985' '0.08922894299030304'
 '0.08721734583377838' '0.0855126902461052' '0.08410637825727463'
 '0.0824870616197586' '0.07976045459508896' '0.07620859146118164'
 '0.07246682047843933' '0.07019426673650742' '0.06947147101163864'
 '0.06570049375295639' '0.06558287888765335' '0.06159449741244316'
 '0.060004822909832' '0.058174993842840195' '0.05727395415306091'
 '0.04983385279774666' '0.04949631169438362']"
DOID:3910,Lung Tissue,"['HBA2' 'AQP1' 'PMP22' 'GPX3' 'CAV1' 'SPARCL1' 'DPYSL2' 'CLDN5' 'FHL1'
 'TUBA1A' 'CLEC3B' 'GPR116' 'AHNAK' 'AGER' 'LGALS1' 'CRIP2' 'MFAP4' 'STOM'
 'LAMP3' 'IL6']","['-0.12249309569597244' '-0.10229688137769699' '-0.10115507245063782'
 '-0.09932713955640793' '-0.0972631573677063' '-0.08785969763994217'
 '-0.08106634765863419' '-0.07854734361171722' '-0.07803448289632797'
 '-0.077633798122406' '-0.07759221643209457' '-0.07642050087451935'
 '-0.07493619620800018' '-0.07453896105289459' '-0.07427418977022171'
 '-0.07424519211053848' '-0.07301577180624008' '-0.0726609081029892'
 '-0.0718294158577919' '-0.07135096192359924']","['SPINK1' 'GGCT' 'EFNA1' 'SFTPC' 'CLDN4' 'LAPTM4B' 'TSPAN8' 'HIST2H2AA4'
 'ALDH3A1' 'HMGCS2' 'WFDC2' 'EPCAM' 'IGHV4-31' 'ENC1' 'KRT8' 'LGALS4'
 'EPHX1' 'LYPLA2' 'TRAP1' 'CEACAM6']","['0.12093038111925125' '0.10384123772382736' '0.10199379920959473'
 '0.07940695434808731' '0.07850586622953415' '0.07690009474754333'
 '0.07640115916728973' '0.07518674433231354' '0.07515805959701538'
 '0.07494940608739853' '0.07082561403512955' '0.06760764122009277'
 '0.0673680379986763' '0.06692792475223541' '0.06568693369626999'
 '0.06442706286907196' '0.0626135990023613' '0.06234678253531456'
 '0.06172504648566246' '0.060153715312480927']"
DOID:676,Peripheral blood mononuclear cell,"['PSPHP1' 'MYOM2' 'DDX17' 'LOC652493' 'TAF13' 'ZPBP' 'KCNJ13' 'PSPH' 'LPA'
 'GABBR2' 'SSX2B' 'NT5E' 'FMOD' 'FMO2' 'REST' 'PIR' 'HCRTR1' 'SSX2IP'
 'FOLR3' 'DSP']","['-0.6655056476593018' '-0.6608496904373169' '-0.3096460700035095'
 '-0.13257649540901184' '-0.052087657153606415' '-0.046479206532239914'
 '-0.011662404052913189' '-0.008111515082418919' '-0.00731024332344532'
 '-0.00719571253284812' '-0.00556109519675374' '-0.005332847125828266'
 '-0.004162773489952087' '-0.003417514730244875' '-0.003102900693193078'
 '-0.002642848528921604' '-0.0023681826423853636' '-0.0023078126832842827'
 '-0.0021045811008661985' '-0.001964419847354293']","['LRRN3' 'HP' 'HBB' 'IFI44L' 'TYRP1' 'ZFY' 'CCDC144A' 'SCG2' 'MYL4'
 'DKFZP547J0410' 'MAGEB3' 'CADPS' 'MAPK12' 'MPPED2' 'TUSC3' 'PF4V1'
 'HLA-DQA1' 'GPR37' 'ID1' 'SRY']","['0.03953806310892105' '0.003194409189745784' '0.002098305383697152'
 '0.0009442379232496023' '0.0007306109182536602' '0.0005644083139486611'
 '0.0004260096466168761' '0.00040728403837420046' '0.00025362815358676016'
 '0.00022275839000940323' '0.0002216892025899142' '0.00017094395298045129'
 '0.00015859097766224295' '0.000134827452711761' '0.00012260323273949325'
 '0.00011489939060993493' '0.0001072497689165175' '0.0001035901514114812'
 '8.88033100636676e-05' '8.128870103973895e-05']"
DOID:9744,T lymphocyte,"['COX1' 'RPS4Y1' 'COX2' 'EEF1A1P9' 'DCAF6' 'RPL30' 'SLC25A3' 'HLA-A'
 'PABPC3' 'RPL6' 'EEF1G' 'ACTG1' 'RLIM' 'EIF3E' 'NACAP1' 'TIPARP' 'EIF3H'
 'UBC' 'RPL3' 'HLA-DRB4']","['-0.27837032079696655' '-0.18922071158885956' '-0.1869356483221054'
 '-0.17479555308818817' '-0.1636999398469925' '-0.14041545987129211'
 '-0.13103055953979492' '-0.1300111711025238' '-0.0802760049700737'
 '-0.07434634119272232' '-0.0712437555193901' '-0.07070594280958176'
 '-0.06842256337404251' '-0.06493823975324631' '-0.06161900609731674'
 '-0.061204198747873306' '-0.05244450271129608' '-0.04935082420706749'
 '-0.048217564821243286' '-0.04819893091917038']","['SH3KBP1' 'TMSB10' 'RPS18' 'TMSB4XP8' 'RPL36' 'RPS26' 'NR4A2' 'CD69'
 'HCLS1' 'SNHG5' 'LDHB' 'LOC100505937' 'RPS5' 'RPL36AL' 'RPS29' 'TUBA1A'
 'PELI1' 'RPL13AP5' 'DYNLT1' 'MAL']","['0.32255005836486816' '0.1858675330877304' '0.16011294722557068'
 '0.13887958228588104' '0.13645176589488983' '0.12158525735139847'
 '0.11500680446624756' '0.11187013238668442' '0.09956327825784683'
 '0.09577631205320358' '0.09166615456342697' '0.09138894081115723'
 '0.08561655133962631' '0.08524180203676224' '0.07794278860092163'
 '0.07109580188989639' '0.07075276970863342' '0.07065822184085846'
 '0.06866208463907242' '0.0679011419415474']"
DOID:9584,Peripheral blood mononuclear cell,"['RIF1' 'SYNPO2' 'LEPROT' 'PPID' 'DISP1' 'PRPS2' 'CDH1' 'LYRM1' 'NKG7'
 'CCNA1' 'ARIH1' 'HTATIP' 'ADRB3' 'PDAP1' 'ZNF84' 'CHST5' 'MFNG' 'PPARD'
 'C7orf42' 'NRGN']","['-0.13237833976745605' '-0.11523597687482834' '-0.08892464637756348'
 '-0.07573647052049637' '-0.06744634360074997' '-0.06611400842666626'
 '-0.06582807749509811' '-0.06146568804979324' '-0.05977785587310791'
 '-0.05853433907032013' '-0.05621705576777458' '-0.05603335425257683'
 '-0.05603325739502907' '-0.05467037111520767' '-0.054190076887607574'
 '-0.05200745537877083' '-0.0515967532992363' '-0.049828026443719864'
 '-0.04916279762983322' '-0.04846539348363876']","['GLTSCR1' 'ARHGEF10' 'RGS20' 'NAGPA' 'LILRB5' 'XK' 'NAP1L3' 'HSD17B3'
 'DEXI' 'GRWD1' 'FKBP1A' 'CASP5' 'SOX17' 'RPL14' 'CAMK1G' 'LOC649828'
 'STAT3' 'SERPINB1' 'PAIP1' 'PEX12']","['0.5082721710205078' '0.09650212526321411' '0.07675919681787491'
 '0.053366806358098984' '0.05084427818655968' '0.04562535136938095'
 '0.04442761465907097' '0.0433749184012413' '0.042293187230825424'
 '0.04053818807005882' '0.04036157950758934' '0.03981049358844757'
 '0.039026692509651184' '0.03901798650622368' '0.03762179985642433'
 '0.03758420795202255' '0.03753001615405083' '0.03731965273618698'
 '0.03648962080478668' '0.03607210889458656']"
DOID:13949,Bladder Tissue,"['ANK1' 'CA12' 'PRKCB1' 'ACO1' 'PSMB6' 'PSMA1' 'DCI' 'SEC31A' 'COX7C'
 'PDYN' 'SGCA' 'LTBP4' 'IL10RB' 'MLX' 'IFNAR1' 'NR2F6' 'OAZ1' 'CIR'
 'RAP2A' 'PTGES']","['-0.09705666452646255' '-0.07721909880638123' '-0.07700546830892563'
 '-0.07328500598669052' '-0.07309470325708389' '-0.07235915958881378'
 '-0.07105743885040283' '-0.06859833002090454' '-0.06771939247846603'
 '-0.06750459223985672' '-0.06719277054071426' '-0.06527669727802277'
 '-0.06407080590724945' '-0.06213797628879547' '-0.05750982463359833'
 '-0.05544658750295639' '-0.055252183228731155' '-0.055096469819545746'
 '-0.05214522406458855' '-0.050175704061985016']","['MT1H' 'EMX1' 'APLP2' 'ACTG2' 'MRPL23' 'BTK' 'KRT18' 'MTCH2' 'SMPD1'
 'PRKCA' 'CCDC85B' 'SERPINE1' 'FOXO1' 'CALM2' 'APBA1' 'KRT7' 'FBLN2'
 'EMP3' 'PRKRIR' 'DTNA']","['0.07115744799375534' '0.06296467781066895' '0.05703456699848175'
 '0.05493856221437454' '0.052104026079177856' '0.05138732120394707'
 '0.05125400051474571' '0.05116571858525276' '0.05016745626926422'
 '0.04747973755002022' '0.04737091809511185' '0.047028593719005585'
 '0.04687212035059929' '0.04631127044558525' '0.046105463057756424'
 '0.04551324248313904' '0.04437824711203575' '0.044331274926662445'
 '0.04176577180624008' '0.04091925919055939']"
DOID:5082,Cirrhotic Livers and Normal Kidneys from the same patients,"['RPS28' 'COX5B' 'GSTA2' 'TECR' 'RN7SL2' 'ATP6V0C' 'DCXR' 'COX8A'
 'HIST1H4C' 'USP17L9P' 'TMEM176A' 'PDZK1IP1' 'MGST3' 'PPDPF' 'CSNK2B'
 'GSTP1' 'CYB5A' 'YWHAE' 'FBP1' 'EGR1']","['-0.12481337040662766' '-0.09434997290372849' '-0.08269032835960388'
 '-0.08165395259857178' '-0.08084014803171158' '-0.07766439020633698'
 '-0.07557868212461472' '-0.07440972328186035' '-0.06908392161130905'
 '-0.06507796049118042' '-0.06379014253616333' '-0.06287169456481934'
 '-0.06115153059363365' '-0.058808982372283936' '-0.058580510318279266'
 '-0.05847641080617905' '-0.05652594193816185' '-0.055395759642124176'
 '-0.054259203374385834' '-0.053579896688461304']","['ACTA1' 'IGHG1' 'GATM' 'IGLJ3' 'ALDOB' 'HLA-B' 'SLC13A1' 'SPP1' 'MMP7'
 'RNU1-1' 'HLA-C' 'C7' 'SNORA38B' 'LYZ' 'APP' 'HLA-J' 'PIGR' 'TOB2' 'SCFV'
 'HLA-G']","['0.13845056295394897' '0.12271395325660706' '0.11664482206106186'
 '0.11032934486865997' '0.10957680642604828' '0.10683412104845047'
 '0.09929976612329483' '0.09165101498365402' '0.09001599252223969'
 '0.08985801786184311' '0.08394031971693039' '0.08227641880512238'
 '0.07913114875555038' '0.07908812910318375' '0.07704107463359833'
 '0.07618968188762665' '0.07605507969856262' '0.07412031292915344'
 '0.07376539707183838' '0.07132408022880554']"
DOID:7693,Aorta,"['WDR82' 'ANP32AP1' 'MSTN' 'CARM1' 'BCYRN1' 'AKT1S1' 'PRM3' 'ZNF575'
 'FHOD1' 'TACC3' 'BTNL8' 'HOXA13' 'ZNF462' 'SCO2' 'TIMM50' 'OR4C46'
 'DEFB136' 'LSM2' 'NXNL1' 'PA2G4']","['-0.1151290163397789' '-0.10928849875926971' '-0.10045869648456573'
 '-0.0990411564707756' '-0.09736704081296921' '-0.08965199440717697'
 '-0.08436130732297897' '-0.07341393828392029' '-0.07255248725414276'
 '-0.0678008496761322' '-0.0675254538655281' '-0.06584180891513824'
 '-0.06539590656757355' '-0.06464089453220367' '-0.06141175329685211'
 '-0.05982762202620506' '-0.059604011476039886' '-0.05812901630997658'
 '-0.05798046663403511' '-0.05797160416841507']","['TIMM17A' 'STRAP' 'DMRTB1' 'NSMCE1' 'LOC100288893' 'SIK3' 'RPS19BP1'
 'ARNT2' 'ZBTB3' 'BTNL9' 'ZC3H8' 'PFDN4' 'GRASP' 'TM4SF5' 'DLD' 'SV2C'
 'B3GAT2' 'TGOLN2' 'PLCB3' 'UFSP1']","['0.05773637443780899' '0.047843895852565765' '0.042891114950180054'
 '0.041830264031887054' '0.041143372654914856' '0.03791116550564766'
 '0.03749322146177292' '0.03702223300933838' '0.03677632287144661'
 '0.0350189246237278' '0.034771718084812164' '0.03441324457526207'
 '0.0340907908976078' '0.03392691910266876' '0.032883040606975555'
 '0.03224186599254608' '0.03187656030058861' '0.031036965548992157'
 '0.030742481350898743' '0.030460920184850693']"
DOID:0050912,Colon biopsy,"['ADAMDEC1' 'SLC26A2' 'AQP8' 'CA2' 'ZG16' 'GUCA2A' 'KRT20' 'CHGA'
 'CEACAM7' 'CLCA4' 'MS4A12' 'PRDX6' 'CD177' 'LGALS4' 'UGT2B17' 'UGDH'
 'PLAC8' 'ETHE1' 'PCK1' 'FTH1']","['-0.17389237880706787' '-0.17168763279914856' '-0.16800694167613983'
 '-0.16476821899414062' '-0.1486724466085434' '-0.14302527904510498'
 '-0.1083800420165062' '-0.10571058094501495' '-0.100216343998909'
 '-0.09217121452093124' '-0.08345653861761093' '-0.08202482014894485'
 '-0.07847992330789566' '-0.07647866755723953' '-0.0758662298321724'
 '-0.07170075923204422' '-0.07161135226488113' '-0.07108408957719803'
 '-0.06836376339197159' '-0.06620881706476212']","['OLFM4' 'LCN2' 'S100P' 'SPINK4' 'SPINK1' 'DEFA6' 'DEFA5' 'LYZ' 'IGFBP2'
 'RETNLB' 'DUOX2' 'TFF1' 'ID1' 'PPA1' 'CTSE' 'IFITM3' 'LCN15' 'S100A11'
 'MIF' 'SLC12A2']","['0.25119689106941223' '0.20927636325359344' '0.18797242641448975'
 '0.12589460611343384' '0.10810215026140213' '0.10341200232505798'
 '0.09766963869333267' '0.09577836096286774' '0.09196159243583679'
 '0.08451491594314575' '0.08399814367294312' '0.0838114321231842'
 '0.08253863453865051' '0.0760793536901474' '0.07581199705600739'
 '0.07548429816961288' '0.07140607386827469' '0.07040347903966904'
 '0.06745204329490662' '0.06611525267362595']"
DOID:0050589,Colon biopsy,"['AQP8' 'SLC26A2' 'RPL30' 'RPL34' 'NACAP1' 'ZG16' 'PRDX6' 'RPS10' 'GUCA2A'
 'PABPC3' 'RPL13AP5' 'CKB' 'RPL39' 'RPL32' 'RPL41' 'RLIM' 'TXNIP' 'RPL3'
 'RPS18' 'HNRNPA1P10']","['-0.13259834051132202' '-0.10830279439687729' '-0.09491350501775742'
 '-0.07734724134206772' '-0.07639094442129135' '-0.07471781969070435'
 '-0.07321473211050034' '-0.07264892011880875' '-0.06867975741624832'
 '-0.06825796514749527' '-0.06795630604028702' '-0.06384670734405518'
 '-0.06198471412062645' '-0.060874663293361664' '-0.05976293981075287'
 '-0.05946660041809082' '-0.05725093185901642' '-0.054298315197229385'
 '-0.054151806980371475' '-0.05387554690241814']","['IGHV4-31' 'LCN2' 'REG1A' 'OLFM4' 'DMBT1' 'PLA2G2A' 'IFITM3' 'ASS1'
 'SPINK4' 'HLA-DRB1' 'DEFA5' 'PI3' 'IFITM1' 'REG1B' 'HLA-DRB5' 'S100P'
 'HLA-DRB4' 'HLA-DRA' 'IFITM2' 'PSME2']","['0.23003360629081726' '0.1820589005947113' '0.17311233282089233'
 '0.1708933711051941' '0.16051237285137177' '0.15352411568164825'
 '0.14624111354351044' '0.14051583409309387' '0.13607561588287354'
 '0.13382486999034882' '0.12577123939990997' '0.12345939874649048'
 '0.10871460288763046' '0.10720744729042053' '0.10623582452535629'
 '0.10265478491783142' '0.1013178899884224' '0.10006419569253922'
 '0.09721772372722626' '0.09295152127742767']"
DOID:9256,Colon,"['IGHA2' 'ITM2C' 'MUC2' 'UQCRC1' 'SGK1' 'HSPA1A' 'IER3' 'ZG16' 'SQRDL'
 'ATP5B' 'FTH1P5' 'PRDX6' 'CA2' 'TFF1' 'UQCRFS1' 'FTH1' 'CKB' 'CD63'
 'ACTB' 'ACTG1']","['-0.20861756801605225' '-0.14358247816562653' '-0.11628207564353943'
 '-0.10946507751941681' '-0.10597708821296692' '-0.10266462713479996'
 '-0.09888454526662827' '-0.09457387030124664' '-0.09283165633678436'
 '-0.09079539030790329' '-0.0896606519818306' '-0.08799386769533157'
 '-0.08598624914884567' '-0.08494476228952408' '-0.08432536572217941'
 '-0.08405840396881104' '-0.08099552243947983' '-0.07941713184118271'
 '-0.07904092222452164' '-0.07588200271129608']","['KRT18' 'CEACAM6' 'OLFM4' 'RPS5' 'RLIM' 'RPLP0P6' 'RPS4X' 'IFITM3'
 'IFITM1' 'RPL36A' 'RPLP0' 'PABPC3' 'FTL' 'TSPAN8' 'TGFBI' 'EIF3E'
 'TMSB4XP8' 'GGH' 'CKS2' 'EPCAM']","['0.1531256139278412' '0.12863977253437042' '0.1092776507139206'
 '0.1082913801074028' '0.09697878360748291' '0.09593946486711502'
 '0.08785437047481537' '0.08782829344272614' '0.08628048002719879'
 '0.08545961230993271' '0.08403851091861725' '0.08168196678161621'
 '0.0803646445274353' '0.07833344489336014' '0.07394575327634811'
 '0.07386865466833115' '0.07338310778141022' '0.07089687883853912'
 '0.07026572525501251' '0.07013241201639175']"
DOID:12205,whole blood,"['HBG2' 'LOC100131754' 'GYPC' 'CMTM2' 'ADIPOR1' 'HBA2' 'NCOA4' 'PPBP'
 'VNN2' 'MXI1' 'SLC25A39' 'FCGR3B' 'BASP1' 'CXCR2' 'ICAM3' 'MNDA' 'STRADB'
 'H3F3AP4' 'R3HDM4' 'RPL34']","['-0.18586063385009766' '-0.14470793306827545' '-0.11872825026512146'
 '-0.11675246804952621' '-0.11545851826667786' '-0.11390593647956848'
 '-0.11041761189699173' '-0.10772843658924103' '-0.10674094408750534'
 '-0.10059119015932083' '-0.09574392437934875' '-0.09085428714752197'
 '-0.08658594638109207' '-0.07962280511856079' '-0.07894653081893921'
 '-0.07762789726257324' '-0.07650783658027649' '-0.0750528872013092'
 '-0.07340624928474426' '-0.07310698926448822']","['IFI27' 'GZMB' 'ISG15' 'PLAC8' 'HMGN2' 'TMSB10' 'LOC100290146' 'CYAT1'
 'LGALS1' 'LDHA' 'GAPDH' 'IFI44L' 'IFI6' 'PSME2' 'IGJ' 'IFIT3' 'MT2A'
 'PSMA6' 'NKG7' 'IFITM1']","['0.20113301277160645' '0.11180256307125092' '0.1100514680147171'
 '0.10979234427213669' '0.10371343046426773' '0.10322371870279312'
 '0.10254599153995514' '0.10047275573015213' '0.08624470978975296'
 '0.07469085603952408' '0.07320757955312729' '0.07134011387825012'
 '0.07128547877073288' '0.0699409767985344' '0.0696517676115036'
 '0.06681045889854431' '0.06488000601530075' '0.0639047846198082'
 '0.0618814192712307' '0.06081147491931915']"
DOID:12449,Bone Marrow,"['H3F3AP4' 'VIM' 'TUBA1C' 'RPL3' 'RPS9' 'RPS4Y1' 'RPL4' 'HMGN2' 'PABPC1'
 'EEF1G' 'RPS16' 'RPL36' 'RPL7A' 'CD48' 'PKD1P1' 'NPIPA1' 'GAPDH' 'SELL'
 'IFITM2' 'NCOA4']","['-0.13059744238853455' '-0.11314129829406738' '-0.11301079392433167'
 '-0.10124558955430984' '-0.10042565315961838' '-0.09837909787893295'
 '-0.09755256026983261' '-0.08751093596220016' '-0.0865250900387764'
 '-0.08181719481945038' '-0.08041886985301971' '-0.07960372418165207'
 '-0.07822663336992264' '-0.07767267525196075' '-0.07571124285459518'
 '-0.07354628294706345' '-0.07115916162729263' '-0.06884414702653885'
 '-0.06754980981349945' '-0.06754636019468307']","['HBB' 'HBA2' 'CYAT1' 'TNFAIP3' 'IGHA2' 'GZMH' 'IGHV4-31' 'LTB' 'TPT1'
 'HMGB1' 'IGLC7' 'CCL5' 'TRAC' 'NKG7' 'PRF1' 'CD52' 'NFKBIA' 'JUNB' 'IER2'
 'CALM2']","['0.36742857098579407' '0.30953073501586914' '0.2074568122625351'
 '0.16754740476608276' '0.16022734344005585' '0.14320845901966095'
 '0.14128485321998596' '0.1391240507364273' '0.1345595419406891'
 '0.12247250229120255' '0.11215754598379135' '0.10206294059753418'
 '0.0932246744632721' '0.09171847254037857' '0.09158287197351456'
 '0.08663073182106018' '0.08501715213060379' '0.08135834336280823'
 '0.07749323546886444' '0.0769403874874115']"
DOID:2893,Uterus - Cervix (MMHCC),"['ORC3' 'TMEM104' 'ERG' 'NEK2' 'OPTN' 'CX3CL1' 'SP2' 'EPHB3' 'DTX4'
 'SYNJ2' 'NAGLU' 'HMX1' 'TNFRSF12A' 'IDI1' 'BHMT' 'DCLRE1A' 'ZNRF3'
 'ACAT2' 'MTERF4' 'ZADH2']","['-0.001983966678380966' '-0.001485537737607956' '-0.00016110036813188344'
 '-9.506659262115136e-05' '-9.121291805058718e-05'
 '-5.298684845911339e-05' '-3.600722266128287e-05'
 '-1.5351257388829254e-05' '-1.5140894902287982e-05'
 '-1.3748462151852436e-05' '-5.384012638387503e-06'
 '-4.821764832740882e-06' '-3.3322266972390935e-06'
 '-3.2839373034221353e-06' '-3.0014916774234734e-06'
 '-2.932793904619757e-06' '-2.6372804313723464e-06'
 '-2.416051756881643e-06' '-2.2912029180588434e-06'
 '-1.7368554381391732e-06']","['RBM10' 'POLE' 'OFD1' 'ZSWIM3' 'NVL' 'NDUFA4' 'MROH7' 'HDAC1' 'DNAJB1'
 'SRSF5' 'MGAT5' 'MMD' 'KPNA6' 'ID4' 'COG5' 'TRPC4AP' 'SH3GLB1' 'ARCN1'
 'EFEMP1' 'CFAP97']","['0.8897977471351624' '0.4560321867465973' '0.012766559608280659'
 '0.007883314043283463' '0.00614972086623311' '0.004507048521190882'
 '0.001706020557321608' '0.0014125044690445065' '0.0002798511122819036'
 '0.00025876841391436756' '0.00020271829271223396' '0.0001869802363216877'
 '4.4721324229612947e-05' '3.91196008422412e-05' '3.317953087389469e-05'
 '2.4520695660612546e-05' '1.5750681995996274e-05'
 '1.2474389222916216e-05' '8.971029274107423e-06' '7.248072051879717e-06']"
DOID:1485,Rectal mucosal epithelia (CFTR D508 Mutation),"['RPL39' 'S100A10' 'RPSA' 'RPS4X' 'TPT1' 'RLIM' 'EEF1G' 'SLC26A2' 'EEF1A1'
 'RPL21' 'RPL38' 'TMA7' 'PABPC1' 'RPL9' 'SEPP1' 'MS4A12' 'ADAMDEC1'
 'PABPC3' 'GLTSCR2' 'RPS24']","['-0.13432347774505615' '-0.12481433153152466' '-0.10299230366945267'
 '-0.09402921795845032' '-0.0883636549115181' '-0.0870782658457756'
 '-0.08652573823928833' '-0.08475925773382187' '-0.08395622670650482'
 '-0.07757685333490372' '-0.0759764313697815' '-0.07285162806510925'
 '-0.07250712811946869' '-0.07236608862876892' '-0.06633317470550537'
 '-0.0661504790186882' '-0.06383670121431351' '-0.06098334491252899'
 '-0.05935938283801079' '-0.055203795433044434']","['ZG16' 'PLA2G2A' 'S100P' 'ACTB' 'CYAT1' 'IER3' 'PIGR' 'FCGBP' 'SPINK4'
 'LCN2' 'IGHV4-31' 'TFF3' 'LGALS4' 'S100A6' 'CLCA1' 'FABP1' 'MUC2' 'CFL1'
 'TMSB10' 'OLFM4']","['0.25915011763572693' '0.2383352518081665' '0.23485185205936432'
 '0.1949998289346695' '0.17216700315475464' '0.15123385190963745'
 '0.15070296823978424' '0.1501927375793457' '0.1491611748933792'
 '0.1470276415348053' '0.1323137879371643' '0.13162748515605927'
 '0.12196263670921326' '0.11797034740447998' '0.11480195075273514'
 '0.08993932604789734' '0.0890364870429039' '0.08207594603300095'
 '0.0804438441991806' '0.07980557531118393']"
DOID:11476,Blood monocyte,"['FOS' 'HLA-C' 'IER2' 'ZFP36' 'PPBP' 'LGALS2' 'PF4' 'S100A12' 'CST3'
 'CTSA' 'TUBA1C' 'DUSP1' 'BTG2' 'FCGR2C' 'LILRB3' 'NCF1C' 'LILRA6' 'TIMP1'
 'TUBA1B' 'HSPA6']","['-0.23634405434131622' '-0.14322516322135925' '-0.10251320898532867'
 '-0.09930618852376938' '-0.09548961371183395' '-0.08928009122610092'
 '-0.08399582654237747' '-0.0769832506775856' '-0.07618055492639542'
 '-0.0708475336432457' '-0.07029841095209122' '-0.06601753830909729'
 '-0.06243303418159485' '-0.05348651856184006' '-0.05347619205713272'
 '-0.051764555275440216' '-0.04983256384730339' '-0.04887187480926514'
 '-0.04792310297489166' '-0.04775872081518173']","['CLC' 'HLA-DQA2' 'FCER1A' 'HLA-DPB1' 'IGHA2' 'RPL6' 'C3AR1' 'MS4A3'
 'ALOX5AP' 'CPA3' 'LIPA' 'ANXA2' 'MBP' 'HSPA8' 'RPL14' 'CSF2RB' 'VCAN'
 'CYAT1' 'EEF1B2' 'VNN2']","['0.2848598062992096' '0.28028520941734314' '0.24948079884052277'
 '0.19192595779895782' '0.15591345727443695' '0.14799484610557556'
 '0.1341993808746338' '0.1103808730840683' '0.10199685394763947'
 '0.09713656455278397' '0.09542907774448395' '0.09395696222782135'
 '0.09369487315416336' '0.09247603267431259' '0.0890253558754921'
 '0.08660025894641876' '0.08423348516225815' '0.07978560775518417'
 '0.07789666950702667' '0.07704877108335495']"
